booking_id,hotel,arrival_date,arrival_year,arrival_month,lead_time,lead_time_category,market_segment,deposit_type,customer_type,country,agent,adr,total_nights,previous_cancellations,total_of_special_requests,days_in_waiting_list,is_repeated_guest,estimated_revenue,is_canceled,risk_prob,risk_level,predicted_cancel,expected_lost_revenue,expected_realised_revenue
11353,Resort Hotel,2017-05-04,2017,May,51,Medium Term,Online TA,No Deposit,Transient,CN,240.0,115.0,3,0,0,0,0,345.0,1,0.6741,High,1,232.56,112.44
11354,Resort Hotel,2017-05-04,2017,May,108,Long Term,Online TA,No Deposit,Transient,IRL,240.0,85.0,3,0,0,0,0,255.0,1,0.7612,High,1,194.11,60.89
11355,Resort Hotel,2017-05-04,2017,May,108,Long Term,Online TA,No Deposit,Transient,IRL,240.0,85.0,3,0,0,0,0,255.0,1,0.7612,High,1,194.11,60.89
11356,Resort Hotel,2017-05-04,2017,May,54,Medium Term,Online TA,No Deposit,Transient,ESP,240.0,165.0,3,0,0,0,0,495.0,1,0.7008,High,1,346.9,148.1
11357,Resort Hotel,2017-05-04,2017,May,108,Long Term,Online TA,No Deposit,Transient,IRL,240.0,85.0,3,0,0,0,0,255.0,1,0.7612,High,1,194.11,60.89
11358,Resort Hotel,2017-05-04,2017,May,15,Short Term,Online TA,No Deposit,Transient,GBR,240.0,101.25,4,0,1,0,0,405.0,1,0.2279,Low,0,92.3,312.7
11359,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11360,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11361,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,90.0,7,0,1,0,0,630.0,1,0.6218,High,1,391.73,238.27
11362,Resort Hotel,2017-05-04,2017,May,223,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.8392,High,1,401.81,76.99
11363,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.6735,High,1,322.47,156.33
11364,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11365,Resort Hotel,2017-05-04,2017,May,223,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.8392,High,1,401.81,76.99
11366,Resort Hotel,2017-05-04,2017,May,223,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.8392,High,1,401.81,76.99
11367,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11368,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11369,Resort Hotel,2017-05-04,2017,May,121,Long Term,Direct,No Deposit,Transient,IRL,250.0,120.0,7,0,1,0,0,840.0,1,0.0526,Low,0,44.18,795.82
11370,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.6735,High,1,322.47,156.33
11371,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11372,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11373,Resort Hotel,2017-05-04,2017,May,223,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.5929,High,1,209.18,143.62
11374,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.6735,High,1,322.47,156.33
11375,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11376,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,50.4,7,0,1,0,0,352.8,1,0.7329,High,1,258.57,94.23
11377,Resort Hotel,2017-05-04,2017,May,253,Very Long Term,Offline TA/TO,No Deposit,Contract,PRT,243.0,50.85,7,0,0,0,0,355.95,1,0.8436,High,1,300.28,55.67
11378,Resort Hotel,2017-05-04,2017,May,223,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,68.4,7,0,1,0,0,478.80000000000007,1,0.8392,High,1,401.81,76.99
11379,Resort Hotel,2017-05-04,2017,May,210,Very Long Term,Offline TA/TO,No Deposit,Transient,PRT,177.0,90.0,7,0,1,0,0,630.0,1,0.6218,High,1,391.73,238.27
11380,Resort Hotel,2017-05-04,2017,May,227,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,81.0,10,0,0,0,0,810.0,1,0.7539,High,1,610.66,199.34
11381,Resort Hotel,2017-05-04,2017,May,194,Very Long Term,Online TA,No Deposit,Transient,PRT,241.0,139.51,14,0,0,0,0,1953.14,1,0.8413,High,1,1643.18,309.96
11382,Resort Hotel,2017-05-05,2017,May,1,Last Minute,Direct,No Deposit,Transient,PRT,No Agent,85.0,1,0,1,0,0,85.0,1,0.0797,Low,0,6.77,78.23
11383,Resort Hotel,2017-05-05,2017,May,19,Short Term,Online TA,No Deposit,Transient,PRT,240.0,105.0,2,0,1,0,0,210.0,1,0.4267,Medium,0,89.61,120.39
11384,Resort Hotel,2017-05-05,2017,May,37,Medium Term,Online TA,No Deposit,Transient,PRT,240.0,136.0,2,0,1,0,0,272.0,1,0.5213,High,1,141.79,130.21
11385,Resort Hotel,2017-05-05,2017,May,5,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,87.0,2,0,1,0,0,174.0,1,0.1,Low,0,17.4,156.6
11386,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11387,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11388,Resort Hotel,2017-05-05,2017,May,14,Short Term,Online TA,No Deposit,Transient,ESP,240.0,90.0,2,0,1,0,0,180.0,1,0.2423,Low,0,43.61,136.39
11389,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11390,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11391,Resort Hotel,2017-05-05,2017,May,29,Short Term,Online TA,No Deposit,Transient,ESP,240.0,104.0,2,0,1,0,0,208.0,1,0.3721,Medium,0,77.4,130.6
11392,Resort Hotel,2017-05-05,2017,May,5,Last Minute,Online TA,No Deposit,Transient,PRT,240.0,112.0,2,0,1,0,0,224.0,1,0.109,Low,0,24.42,199.58
11393,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11394,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11395,Resort Hotel,2017-05-05,2017,May,214,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,2,0,0,0,0,108.0,1,0.8339,High,1,90.06,17.94
11396,Resort Hotel,2017-05-05,2017,May,49,Medium Term,Online TA,No Deposit,Transient,FRA,240.0,100.0,3,0,1,0,0,300.0,1,0.3015,Medium,0,90.45,209.55
11397,Resort Hotel,2017-05-05,2017,May,89,Medium Term,Online TA,No Deposit,Transient,BRA,240.0,115.0,3,0,0,0,0,345.0,1,0.6468,High,1,223.15,121.85
11398,Resort Hotel,2017-05-05,2017,May,44,Medium Term,Direct,No Deposit,Transient,BRA,250.0,107.17,3,0,2,0,0,321.51,1,0.047,Low,0,15.11,306.4
11399,Resort Hotel,2017-05-05,2017,May,183,Very Long Term,Online TA,Refundable,Transient,IRL,240.0,76.0,4,0,1,0,0,304.0,1,0.8139,High,1,247.43,56.57
11400,Resort Hotel,2017-05-05,2017,May,54,Medium Term,Online TA,No Deposit,Transient,GBR,240.0,100.0,4,0,1,0,0,400.0,1,0.3629,Medium,0,145.16,254.84
11401,Resort Hotel,2017-05-05,2017,May,6,Last Minute,Direct,No Deposit,Transient,PRT,250.0,195.0,5,0,0,0,0,975.0,1,0.2398,Low,0,233.8,741.2
11402,Resort Hotel,2017-05-05,2017,May,15,Short Term,Online TA,No Deposit,Transient,IRL,240.0,78.0,5,0,1,0,0,390.0,1,0.2855,Medium,0,111.34,278.66
11403,Resort Hotel,2017-05-05,2017,May,106,Long Term,Online TA,No Deposit,Transient,IRL,240.0,85.0,5,0,1,0,0,425.0,1,0.37,Medium,0,157.25,267.75
11404,Resort Hotel,2017-05-05,2017,May,226,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,109.8,7,0,0,0,0,768.6,1,0.8564,High,1,658.23,110.37
11405,Resort Hotel,2017-05-05,2017,May,225,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,81.0,7,0,1,0,0,567.0,1,0.5533,High,1,313.72,253.28
11406,Resort Hotel,2017-05-05,2017,May,226,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,109.8,7,0,0,0,0,768.6,1,0.8564,High,1,658.23,110.37
11407,Resort Hotel,2017-05-05,2017,May,233,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,60.0,7,0,2,0,0,420.0,1,0.4083,Medium,0,171.49,248.51
11408,Resort Hotel,2017-05-05,2017,May,233,Very Long Term,Online TA,No Deposit,Transient,PRT,175.0,66.24,7,0,0,0,0,463.68,1,0.888,High,1,411.75,51.93
11409,Resort Hotel,2017-05-05,2017,May,93,Long Term,Online TA,No Deposit,Transient,PRT,240.0,100.0,7,0,2,0,0,700.0,1,0.6218,High,1,435.26,264.74
11410,Resort Hotel,2017-05-05,2017,May,295,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,54.0,8,0,1,0,0,432.0,1,0.6488,High,1,280.28,151.72
11411,Resort Hotel,2017-05-05,2017,May,330,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,75.0,18,0,0,0,0,1350.0,1,0.8864,High,1,1196.64,153.36
11412,Resort Hotel,2017-05-06,2017,May,116,Long Term,Online TA,No Deposit,Transient,CHN,240.0,85.0,1,0,1,0,0,85.0,1,0.4565,Medium,0,38.8,46.2
11413,Resort Hotel,2017-05-06,2017,May,116,Long Term,Online TA,No Deposit,Transient,CHN,240.0,85.0,1,0,2,0,0,85.0,1,0.3825,Medium,0,32.51,52.49
11414,Resort Hotel,2017-05-06,2017,May,115,Long Term,Online TA,No Deposit,Transient,FRA,240.0,100.0,2,0,1,0,0,200.0,1,0.3082,Medium,0,61.64,138.36
11415,Resort Hotel,2017-05-06,2017,May,23,Short Term,Online TA,No Deposit,Transient,GBR,240.0,127.5,4,0,1,0,0,510.0,1,0.4169,Medium,0,212.62,297.38
11416,Resort Hotel,2017-05-06,2017,May,227,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,81.0,7,0,0,0,0,567.0,1,0.7392,High,1,419.13,147.87
11417,Resort Hotel,2017-05-06,2017,May,227,Very Long Term,Online TA,No Deposit,Transient,IRL,240.0,54.0,7,0,2,0,0,378.0,1,0.3901,Medium,0,147.46,230.54
11418,Resort Hotel,2017-05-06,2017,May,90,Medium Term,Direct,No Deposit,Transient,IRL,250.0,98.0,8,0,0,0,0,784.0,1,0.1482,Low,0,116.19,667.81
11419,Resort Hotel,2017-05-06,2017,May,17,Short Term,Online TA,No Deposit,Transient,FRA,240.0,168.13,8,0,0,0,0,1345.04,1,0.6357,High,1,855.04,490.0
11420,Resort Hotel,2017-05-06,2017,May,152,Long Term,Online TA,No Deposit,Transient,PRT,240.0,115.0,8,0,1,0,0,920.0,1,0.6376,High,1,586.59,333.41
11421,Resort Hotel,2017-05-06,2017,May,86,Medium Term,Online TA,No Deposit,Transient,BRA,240.0,155.0,10,0,1,0,0,1550.0,1,0.5149,High,1,798.1,751.9
11422,Resort Hotel,2017-05-06,2017,May,33,Medium Term,Online TA,No Deposit,Transient,SVK,240.0,127.83,12,0,1,0,0,1533.96,1,0.6308,High,1,967.62,566.34
11423,Resort Hotel,2017-05-07,2017,May,49,Medium Term,Online TA,No Deposit,Transient,DEU,240.0,132.0,2,0,0,0,0,264.0,1,0.5634,High,1,148.74,115.26
11424,Resort Hotel,2017-05-07,2017,May,136,Long Term,Online TA,No Deposit,Transient,PRT,242.0,115.0,2,0,1,0,0,230.0,1,0.7527,High,1,173.12,56.88
11425,Resort Hotel,2017-05-07,2017,May,136,Long Term,Online TA,No Deposit,Transient,PRT,242.0,115.0,2,0,1,0,0,230.0,1,0.7527,High,1,173.12,56.88
11426,Resort Hotel,2017-05-07,2017,May,62,Medium Term,Complementary,No Deposit,Transient,PRT,No Agent,0.0,3,0,0,0,0,0.0,1,0.2913,Medium,0,0.0,0.0
11427,Resort Hotel,2017-05-07,2017,May,17,Short Term,Online TA,No Deposit,Transient,PRT,241.0,68.0,3,0,1,0,0,204.0,1,0.347,Medium,0,70.79,133.21
11428,Resort Hotel,2017-05-07,2017,May,41,Medium Term,Online TA,No Deposit,Transient,ARE,240.0,125.0,3,0,2,0,0,375.0,1,0.723,High,1,271.12,103.88
11429,Resort Hotel,2017-05-07,2017,May,319,Very Long Term,Online TA,No Deposit,Transient,IRL,240.0,54.0,5,0,0,0,0,270.0,1,0.8147,High,1,219.97,50.03
11430,Resort Hotel,2017-05-07,2017,May,123,Long Term,Direct,No Deposit,Transient,CHE,250.0,90.0,7,0,1,0,0,630.0,1,0.0503,Low,0,31.69,598.31
11431,Resort Hotel,2017-05-07,2017,May,257,Very Long Term,Online TA,No Deposit,Transient,CHE,240.0,90.0,7,0,1,0,0,630.0,1,0.5573,High,1,351.1,278.9
11432,Resort Hotel,2017-05-07,2017,May,70,Medium Term,Online TA,No Deposit,Transient,IRL,240.0,100.0,7,0,1,0,0,700.0,1,0.4125,Medium,0,288.75,411.25
11433,Resort Hotel,2017-05-08,2017,May,2,Last Minute,Offline TA/TO,No Deposit,Transient,PRT,152.0,64.0,1,0,1,0,0,64.0,1,0.3061,Medium,0,19.59,44.41
11434,Resort Hotel,2017-05-08,2017,May,2,Last Minute,Offline TA/TO,No Deposit,Transient,PRT,152.0,64.0,1,0,1,0,0,64.0,1,0.3061,Medium,0,19.59,44.41
11435,Resort Hotel,2017-05-08,2017,May,2,Last Minute,Offline TA/TO,No Deposit,Transient,PRT,152.0,64.0,1,0,1,0,0,64.0,1,0.3061,Medium,0,19.59,44.41
11436,Resort Hotel,2017-05-08,2017,May,2,Last Minute,Offline TA/TO,No Deposit,Transient,PRT,152.0,64.0,1,0,1,0,0,64.0,1,0.3061,Medium,0,19.59,44.41
11437,Resort Hotel,2017-05-08,2017,May,82,Medium Term,Online TA,No Deposit,Transient,ROU,240.0,85.0,4,0,0,0,0,340.0,1,0.7059,High,1,240.01,99.99
11438,Resort Hotel,2017-05-08,2017,May,104,Long Term,Offline TA/TO,No Deposit,Transient,PRT,410.0,40.95,4,0,0,0,0,163.8,1,0.7181,High,1,117.62,46.18
11439,Resort Hotel,2017-05-08,2017,May,140,Long Term,Online TA,No Deposit,Transient,CN,240.0,155.0,5,0,1,0,0,775.0,1,0.4674,Medium,0,362.24,412.76
11440,Resort Hotel,2017-05-08,2017,May,158,Long Term,Online TA,No Deposit,Transient,FRA,240.0,85.0,5,0,0,0,0,425.0,1,0.559,High,1,237.58,187.42
11441,Resort Hotel,2017-05-08,2017,May,31,Medium Term,Online TA,No Deposit,Transient,ESP,240.0,129.0,6,0,2,0,0,774.0,1,0.5066,High,1,392.11,381.89
11442,Resort Hotel,2017-05-08,2017,May,82,Medium Term,Online TA,No Deposit,Transient,ROU,240.0,85.0,4,0,0,0,0,340.0,1,0.7059,High,1,240.01,99.99
11443,Resort Hotel,2017-05-08,2017,May,156,Long Term,Groups,No Deposit,Transient-Party,PRT,434.0,60.0,7,0,0,0,0,420.0,1,0.4037,Medium,0,169.55,250.45
11444,Resort Hotel,2017-05-08,2017,May,217,Very Long Term,Groups,No Deposit,Transient-Party,PRT,434.0,80.0,7,0,0,61,0,560.0,1,0.6967,High,1,390.15,169.85
11445,Resort Hotel,2017-05-08,2017,May,183,Very Long Term,Online TA,No Deposit,Transient,DEU,240.0,96.43,14,0,2,0,0,1350.02,1,0.2781,Medium,0,375.44,974.58
11446,Resort Hotel,2017-05-09,2017,May,15,Short Term,Online TA,No Deposit,Transient,CN,240.0,90.0,2,0,0,0,0,180.0,1,0.4444,Medium,0,79.99,100.01
11447,Resort Hotel,2017-05-09,2017,May,7,Last Minute,Online TA,No Deposit,Transient,USA,240.0,85.0,2,0,1,0,0,170.0,1,0.1007,Low,0,17.12,152.88
11448,Resort Hotel,2017-05-09,2017,May,7,Last Minute,Online TA,No Deposit,Transient,USA,240.0,85.0,2,0,1,0,0,170.0,1,0.097,Low,0,16.49,153.51
11449,Resort Hotel,2017-05-09,2017,May,257,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,67.5,2,0,0,0,0,135.0,1,0.3235,Medium,0,43.67,91.33
11450,Resort Hotel,2017-05-09,2017,May,54,Medium Term,Online TA,No Deposit,Transient,GBR,240.0,165.0,3,0,0,0,0,495.0,1,0.6544,High,1,323.93,171.07
11451,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11452,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11453,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11454,Resort Hotel,2017-05-09,2017,May,47,Medium Term,Online TA,No Deposit,Transient,CN,240.0,115.0,3,0,1,0,0,345.0,1,0.4227,Medium,0,145.83,199.17
11455,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11456,Resort Hotel,2017-05-09,2017,May,257,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,91.0,4,0,0,0,0,364.0,1,0.4299,Medium,0,156.48,207.52
11457,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11458,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11459,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11460,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11461,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11462,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11463,Resort Hotel,2017-05-09,2017,May,231,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.5692,High,1,184.42,139.58
11464,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,57.5,4,0,0,0,0,230.0,1,0.4008,Medium,0,92.18,137.82
11465,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11466,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11467,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11468,Resort Hotel,2017-05-09,2017,May,302,Very Long Term,Groups,No Deposit,Transient-Party,PRT,No Agent,81.0,4,0,0,0,0,324.0,1,0.7004,High,1,226.93,97.07
11469,Resort Hotel,2017-05-09,2017,May,84,Medium Term,Online TA,No Deposit,Transient,NLD,240.0,160.0,5,0,2,0,0,800.0,1,0.264,Medium,0,211.2,588.8
11470,Resort Hotel,2017-05-09,2017,May,29,Short Term,Online TA,No Deposit,Transient,FRA,240.0,169.0,6,0,0,0,0,1014.0,1,0.6483,High,1,657.38,356.62
11471,Resort Hotel,2017-05-09,2017,May,120,Long Term,Online TA,No Deposit,Transient,GBR,240.0,155.0,6,0,0,0,0,930.0,1,0.727,High,1,676.11,253.89
11472,Resort Hotel,2017-05-09,2017,May,115,Long Term,Online TA,No Deposit,Transient,FIN,240.0,100.0,8,0,3,0,0,800.0,1,0.2314,Low,0,185.12,614.88
11473,Resort Hotel,2017-05-10,2017,May,296,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,67.5,1,0,2,0,0,67.5,1,0.4064,Medium,0,27.43,40.07
11474,Resort Hotel,2017-05-10,2017,May,303,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,67.5,1,0,2,0,0,67.5,1,0.4373,Medium,0,29.52,37.98
11475,Resort Hotel,2017-05-10,2017,May,16,Short Term,Online TA,No Deposit,Transient,MAR,240.0,130.0,3,0,1,0,0,390.0,1,0.4666,Medium,0,181.97,208.03
11476,Resort Hotel,2017-05-10,2017,May,79,Medium Term,Online TA,No Deposit,Transient,BRA,240.0,155.0,4,0,0,0,0,620.0,1,0.7052,High,1,437.22,182.78
11477,Resort Hotel,2017-05-10,2017,May,78,Medium Term,Online TA,No Deposit,Transient,BRA,240.0,155.0,4,0,0,0,0,620.0,1,0.7052,High,1,437.22,182.78
11478,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11479,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11480,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11481,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11482,Resort Hotel,2017-05-10,2017,May,14,Short Term,Online TA,No Deposit,Transient,DEU,240.0,96.14,7,0,0,0,0,672.98,1,0.4728,Medium,0,318.18,354.8
11483,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11484,Resort Hotel,2017-05-10,2017,May,140,Long Term,Groups,No Deposit,Transient-Party,PRT,96.0,48.0,7,0,0,0,0,336.0,1,0.8865,High,1,297.86,38.14
11485,Resort Hotel,2017-05-10,2017,May,130,Long Term,Online TA,No Deposit,Transient,IRL,240.0,100.0,10,0,2,0,0,1000.0,1,0.4674,Medium,0,467.4,532.6
11486,Resort Hotel,2017-05-10,2017,May,130,Long Term,Online TA,No Deposit,Transient,IRL,240.0,100.0,10,0,2,0,0,1000.0,1,0.4674,Medium,0,467.4,532.6
11487,Resort Hotel,2017-05-10,2017,May,67,Medium Term,Online TA,No Deposit,Transient,SWE,240.0,175.0,10,0,1,0,0,1750.0,1,0.523,High,1,915.25,834.75
11488,Resort Hotel,2017-05-10,2017,May,288,Very Long Term,Online TA,No Deposit,Transient,GBR,240.0,72.0,7,0,1,0,0,504.0,1,0.6533,High,1,329.26,174.74
11489,Resort Hotel,2017-05-11,2017,May,0,Last Minute,Direct,No Deposit,Transient,PRT,250.0,80.0,1,0,0,0,0,80.0,1,0.1728,Low,0,13.82,66.18
11490,Resort Hotel,2017-05-11,2017,May,13,Short Term,Online TA,No Deposit,Transient,IRL,240.0,87.67,3,0,1,0,0,263.01,1,0.2124,Low,0,55.86,207.15
11491,Resort Hotel,2017-05-11,2017,May,29,Short Term,Online TA,No Deposit,Transient,ESP,240.0,89.0,3,0,1,0,0,267.0,1,0.3624,Medium,0,96.76,170.24
11492,Resort Hotel,2017-05-11,2017,May,77,Medium Term,Online TA,No Deposit,Transient,EST,240.0,85.0,3,0,0,0,0,255.0,1,0.5111,High,1,130.33,124.67
11493,Resort Hotel,2017-05-11,2017,May,24,Short Term,Online TA,No Deposit,Transient,ESP,240.0,130.0,5,0,2,0,0,650.0,1,0.4467,Medium,0,290.36,359.64
11494,Resort Hotel,2017-05-11,2017,May,154,Long Term,Online TA,No Deposit,Transient,BEL,240.0,85.0,5,0,1,0,0,425.0,1,0.3398,Medium,0,144.42,280.58
11495,Resort Hotel,2017-05-11,2017,May,150,Long Term,Online TA,No Deposit,Transient,BEL,240.0,85.0,5,0,0,0,0,425.0,1,0.5764,High,1,244.97,180.03
11496,Resort Hotel,2017-05-11,2017,May,77,Medium Term,Online TA,No Deposit,Transient,PRT,242.0,85.0,5,0,1,0,0,425.0,1,0.6142,High,1,261.03,163.96
11497,Resort Hotel,2017-05-11,2017,May,233,Very Long Term,Online TA,No Deposit,Transient,IRL,240.0,54.0,5,0,1,0,0,270.0,1,0.5035,High,1,135.94,134.06
11498,Resort Hotel,2017-05-11,2017,May,233,Very Long Term,Online TA,No Deposit,Transient,IRL,240.0,67.5,5,0,0,0,0,337.5,1,0.7028,High,1,237.2,100.3
11499,Resort Hotel,2017-05-11,2017,May,10,Short Term,Online TA,No Deposit,Transient,PRT,240.0,96.67,3,0,3,0,0,290.01,1,0.1688,Low,0,48.95,241.06
11500,Resort Hotel,2017-05-11,2017,May,116,Long Term,Online TA,No Deposit,Transient-Party,IRL,240.0,100.0,3,0,0,0,0,300.0,1,0.3817,Medium,0,114.51,185.49
