priority_rank,booking_id,hotel,arrival_date,total_nights,days_in_waiting_list,adr,risk_prob,risk_level,estimated_revenue,expected_realised_revenue
828,83062,City Hotel,2016-01-14,3,43,52.0,0.0007,Low,156.0,155.89
829,83064,City Hotel,2016-01-14,3,43,52.0,0.0007,Low,156.0,155.89
830,83065,City Hotel,2016-01-14,3,43,52.0,0.0007,Low,156.0,155.89
831,83063,City Hotel,2016-01-14,3,43,52.0,0.001,Low,156.0,155.84
832,44186,City Hotel,2015-10-02,2,59,100.0,0.222,Low,200.0,155.6
833,30412,Resort Hotel,2016-11-18,3,116,52.0,0.0076,Low,156.0,154.81
834,107882,City Hotel,2017-03-16,4,223,39.0,0.0076,Low,156.0,154.81
835,65359,City Hotel,2017-04-01,3,50,98.0,0.4797,Medium,294.0,152.97
836,83058,City Hotel,2016-01-14,3,43,51.0,0.0003,Low,153.0,152.95
837,93586,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
838,93587,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
839,93590,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
840,93591,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
841,93593,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
842,93594,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
843,93600,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
844,93604,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
845,93605,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
846,93606,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
847,93607,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
848,93608,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
849,93613,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
850,93619,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
851,93632,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
852,93633,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
853,93636,City Hotel,2016-07-22,2,96,76.5,0.0026,Low,153.0,152.6
854,50852,City Hotel,2016-05-10,2,207,76.0,0.002,Low,152.0,151.7
855,50857,City Hotel,2016-05-10,2,207,76.0,0.002,Low,152.0,151.7
856,50859,City Hotel,2016-05-10,2,207,76.0,0.002,Low,152.0,151.7
857,50864,City Hotel,2016-05-10,2,207,76.0,0.002,Low,152.0,151.7
858,50865,City Hotel,2016-05-10,2,207,76.0,0.0041,Low,152.0,151.38
859,46344,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
860,46347,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
861,46353,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
862,46354,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
863,46356,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
864,46359,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
865,46360,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
866,46361,City Hotel,2015-12-30,3,111,70.0,0.2802,Medium,210.0,151.16
867,50602,City Hotel,2016-05-05,3,259,65.0,0.2261,Low,195.0,150.91
868,44623,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
869,44627,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
870,44632,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
871,44637,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
872,44638,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
873,44646,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
874,44647,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
875,44656,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
876,44658,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
877,44661,City Hotel,2015-10-09,2,50,108.0,0.303,Medium,216.0,150.55
878,102497,City Hotel,2016-11-28,2,10,80.0,0.0658,Low,160.0,149.47
879,98157,City Hotel,2016-09-22,3,178,95.67,0.4814,Medium,287.01,148.84
880,98158,City Hotel,2016-09-22,3,178,95.67,0.4814,Medium,287.01,148.84
881,44541,City Hotel,2015-10-07,4,58,65.0,0.4404,Medium,260.0,145.5
882,44548,City Hotel,2015-10-07,4,58,65.0,0.4404,Medium,260.0,145.5
883,44554,City Hotel,2015-10-07,4,58,65.0,0.4404,Medium,260.0,145.5
884,100271,City Hotel,2016-10-23,2,6,125.0,0.4204,Medium,250.0,144.9
885,53016,City Hotel,2016-06-15,2,39,130.0,0.444,Medium,260.0,144.56
886,46752,City Hotel,2016-01-19,2,63,71.0,0.0006,Low,142.0,141.91
887,46757,City Hotel,2016-01-19,2,63,71.0,0.0006,Low,142.0,141.91
888,46766,City Hotel,2016-01-19,2,63,71.0,0.0006,Low,142.0,141.91
889,46807,City Hotel,2016-01-19,2,63,71.0,0.0008,Low,142.0,141.89
890,46809,City Hotel,2016-01-19,2,63,71.0,0.0008,Low,142.0,141.89
891,46758,City Hotel,2016-01-19,2,63,71.0,0.0009,Low,142.0,141.87
892,46755,City Hotel,2016-01-19,2,63,71.0,0.0011,Low,142.0,141.84
893,46763,City Hotel,2016-01-19,2,63,71.0,0.0012,Low,142.0,141.83
894,46759,City Hotel,2016-01-19,2,63,71.0,0.0013,Low,142.0,141.82
895,46764,City Hotel,2016-01-19,2,63,71.0,0.0013,Low,142.0,141.82
896,46761,City Hotel,2016-01-19,2,63,71.0,0.0015,Low,142.0,141.79
897,46754,City Hotel,2016-01-19,2,63,71.0,0.0016,Low,142.0,141.77
898,46769,City Hotel,2016-01-19,2,63,70.0,0.0005,Low,140.0,139.93
899,83066,City Hotel,2016-01-14,3,43,52.0,0.1031,Low,156.0,139.92
900,45388,City Hotel,2015-10-28,3,58,75.33,0.3816,Medium,225.99,139.75
901,45395,City Hotel,2015-10-28,3,58,75.33,0.3816,Medium,225.99,139.75
902,45416,City Hotel,2015-10-28,3,58,75.33,0.3816,Medium,225.99,139.75
903,45427,City Hotel,2015-10-28,3,58,75.33,0.3816,Medium,225.99,139.75
904,44377,City Hotel,2015-10-05,2,40,70.0,0.0079,Low,140.0,138.89
905,44378,City Hotel,2015-10-05,2,40,70.0,0.0079,Low,140.0,138.89
906,44384,City Hotel,2015-10-05,2,40,70.0,0.0079,Low,140.0,138.89
907,44388,City Hotel,2015-10-05,2,40,70.0,0.0079,Low,140.0,138.89
908,44408,City Hotel,2015-10-05,2,40,70.0,0.0079,Low,140.0,138.89
909,83052,City Hotel,2016-01-14,3,43,52.0,0.1099,Low,156.0,138.86
910,83055,City Hotel,2016-01-14,3,43,52.0,0.1099,Low,156.0,138.86
911,111442,City Hotel,2017-05-10,1,1,140.0,0.0088,Low,140.0,138.77
912,44621,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
913,44622,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
914,44624,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
915,44628,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
916,44629,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
917,44633,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
918,44634,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
919,44639,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
920,44643,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
921,44645,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
922,44648,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
923,44649,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
924,44650,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
925,44651,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
926,44657,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
927,44662,City Hotel,2015-10-09,2,50,136.0,0.4918,Medium,272.0,138.23
928,44385,City Hotel,2015-10-05,2,40,98.0,0.2974,Medium,196.0,137.71
929,93602,City Hotel,2016-07-22,2,96,76.5,0.1052,Low,153.0,136.9
930,93603,City Hotel,2016-07-22,2,96,76.5,0.1052,Low,153.0,136.9
931,44399,City Hotel,2015-10-05,2,77,90.6,0.2484,Low,181.2,136.19
932,44400,City Hotel,2015-10-05,2,77,90.6,0.2484,Low,181.2,136.19
933,44407,City Hotel,2015-10-05,2,77,90.6,0.2484,Low,181.2,136.19
934,99173,City Hotel,2016-10-07,3,68,45.33,0.0005,Low,135.99,135.92
935,87764,City Hotel,2016-04-22,4,48,63.5,0.4764,Medium,254.0,132.99
936,34246,Resort Hotel,2017-03-15,3,8,45.0,0.0222,Low,135.0,132.0
937,44545,City Hotel,2015-10-07,4,89,89.25,0.6303,High,357.0,131.98
938,57986,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
939,57989,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
940,57992,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
941,57997,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
942,58001,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
943,58003,City Hotel,2016-10-04,6,162,90.0,0.7557,High,540.0,131.92
944,45385,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
945,45386,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
946,45392,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
947,45393,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
948,45400,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
949,45401,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
950,45411,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
951,45413,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
952,45417,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
953,45423,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
954,45431,City Hotel,2015-10-28,3,58,85.67,0.4901,Medium,257.01,131.05
955,112822,City Hotel,2017-05-27,2,98,128.0,0.4915,Medium,256.0,130.18
956,86832,City Hotel,2016-04-08,2,34,65.0,0.0018,Low,130.0,129.77
957,86850,City Hotel,2016-04-08,2,34,65.0,0.0018,Low,130.0,129.77
958,86851,City Hotel,2016-04-08,2,34,65.0,0.0018,Low,130.0,129.77
959,86855,City Hotel,2016-04-08,2,34,65.0,0.0018,Low,130.0,129.77
960,91701,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
961,91703,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
962,91719,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
963,91723,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
964,91742,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
965,91757,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
966,91758,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
967,91759,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
968,91760,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
969,91763,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
970,91856,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
971,91865,City Hotel,2016-06-24,2,61,65.0,0.0022,Low,130.0,129.71
972,97632,City Hotel,2016-09-17,2,38,65.0,0.0029,Low,130.0,129.62
973,44402,City Hotel,2015-10-05,2,40,65.0,0.0031,Low,130.0,129.6
974,86188,City Hotel,2016-03-26,3,4,43.33,0.0032,Low,129.99,129.57
975,98556,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
976,98557,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
977,98575,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
978,98578,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
979,98579,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
980,98582,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
981,98583,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
982,98584,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
983,98586,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
984,98587,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
985,98588,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
986,98590,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
987,98591,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
988,98593,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
989,98594,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
990,98595,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
991,98596,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
992,98598,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
993,98602,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
994,98608,City Hotel,2016-09-30,2,38,65.0,0.0034,Low,130.0,129.56
995,97634,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
996,97641,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
997,97644,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
998,97646,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
999,97647,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1000,97666,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1001,97668,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1002,97669,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1003,97676,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1004,97678,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1005,97684,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1006,97686,City Hotel,2016-09-17,2,38,65.0,0.0037,Low,130.0,129.52
1007,98564,City Hotel,2016-09-30,2,38,65.0,0.0038,Low,130.0,129.51
1008,98614,City Hotel,2016-09-30,2,38,65.0,0.0047,Low,130.0,129.39
1009,86866,City Hotel,2016-04-08,2,34,65.0,0.0077,Low,130.0,129.0
1010,46773,City Hotel,2016-01-19,2,63,80.0,0.2002,Low,160.0,127.97
1011,91697,City Hotel,2016-06-24,2,61,65.0,0.0189,Low,130.0,127.54
1012,83252,City Hotel,2016-01-25,2,15,64.0,0.005,Low,128.0,127.36
1013,83259,City Hotel,2016-01-25,2,15,64.0,0.0074,Low,128.0,127.05
1014,44382,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1015,44386,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1016,44387,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1017,44389,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1018,44393,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1019,44395,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1020,44404,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1021,44406,City Hotel,2015-10-05,2,77,112.2,0.4351,Medium,224.4,126.76
1022,83254,City Hotel,2016-01-25,2,15,64.0,0.0112,Low,128.0,126.57
1023,44614,City Hotel,2015-10-08,3,53,65.45,0.3557,Medium,196.35,126.51
1024,93584,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1025,93595,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1026,93596,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1027,93598,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1028,93623,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1029,93635,City Hotel,2016-07-22,2,96,64.25,0.0172,Low,128.5,126.29
1030,83249,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1031,83253,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1032,83260,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1033,83279,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1034,83284,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1035,83285,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1036,83286,City Hotel,2016-01-25,2,15,64.0,0.0292,Low,128.0,124.26
1037,44218,City Hotel,2015-10-02,2,59,100.0,0.3792,Medium,200.0,124.16
1038,44249,City Hotel,2015-10-02,2,59,100.0,0.3792,Medium,200.0,124.16
1039,44250,City Hotel,2015-10-02,2,59,100.0,0.3792,Medium,200.0,124.16
1040,44252,City Hotel,2015-10-02,2,59,100.0,0.3792,Medium,200.0,124.16
1041,44253,City Hotel,2015-10-02,2,59,100.0,0.3792,Medium,200.0,124.16
1042,57502,City Hotel,2016-09-26,3,223,86.0,0.5211,High,258.0,123.56
1043,33178,Resort Hotel,2017-02-13,4,113,31.0,0.0071,Low,124.0,123.12
1044,57293,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1045,57294,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1046,57298,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1047,57299,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1048,57308,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1049,57312,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1050,57313,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1051,57316,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1052,57317,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1053,57321,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1054,57322,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1055,57323,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1056,57326,City Hotel,2016-09-23,2,330,65.0,0.0569,Low,130.0,122.6
1057,52331,City Hotel,2016-06-03,3,27,75.0,0.4566,Medium,225.0,122.26
1058,33513,Resort Hotel,2017-02-23,2,18,60.0,0.0047,Low,120.0,119.44
1059,89960,City Hotel,2016-05-30,1,25,120.0,0.0097,Low,120.0,118.84
1060,51128,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1061,51129,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1062,51134,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1063,51135,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1064,51136,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1065,51137,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1066,51140,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1067,51142,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1068,51144,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1069,51145,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1070,51147,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1071,51148,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1072,51149,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1073,51150,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1074,51151,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1075,51158,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1076,51159,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1077,51160,City Hotel,2016-05-14,2,236,65.0,0.0945,Low,130.0,117.72
1078,83265,City Hotel,2016-01-25,2,15,59.0,0.005,Low,118.0,117.41
1079,50721,City Hotel,2016-05-06,2,259,65.0,0.0979,Low,130.0,117.27
1080,34225,Resort Hotel,2017-03-15,3,13,40.0,0.0234,Low,120.0,117.19
1081,83256,City Hotel,2016-01-25,2,15,59.0,0.008,Low,118.0,117.06
1082,91754,City Hotel,2016-06-24,2,61,65.0,0.0998,Low,130.0,117.03
1083,97528,City Hotel,2016-09-21,1,44,117.0,0.0006,Low,117.0,116.93
1084,97535,City Hotel,2016-09-21,1,44,117.0,0.0006,Low,117.0,116.93
1085,97551,City Hotel,2016-09-21,1,44,117.0,0.0006,Low,117.0,116.93
1086,97561,City Hotel,2016-09-21,1,44,117.0,0.0006,Low,117.0,116.93
1087,97557,City Hotel,2016-09-21,1,44,117.0,0.0009,Low,117.0,116.89
1088,97491,City Hotel,2016-09-21,1,44,117.0,0.0037,Low,117.0,116.57
1089,97543,City Hotel,2016-09-21,1,44,117.0,0.0037,Low,117.0,116.57
1090,97553,City Hotel,2016-09-21,1,44,117.0,0.0037,Low,117.0,116.57
1091,97555,City Hotel,2016-09-21,1,44,117.0,0.0037,Low,117.0,116.57
1092,97564,City Hotel,2016-09-21,1,44,117.0,0.0037,Low,117.0,116.57
1093,97536,City Hotel,2016-09-16,2,44,58.5,0.0067,Low,117.0,116.22
1094,46770,City Hotel,2016-01-19,2,63,70.0,0.1781,Low,140.0,115.07
1095,11228,Resort Hotel,2017-04-29,3,121,85.0,0.5495,High,255.0,114.88
1096,86864,City Hotel,2016-04-08,2,34,57.5,0.0016,Low,115.0,114.82
1097,86840,City Hotel,2016-04-08,2,34,57.5,0.0132,Low,115.0,113.48
1098,86860,City Hotel,2016-04-08,2,34,57.5,0.0132,Low,115.0,113.48
1099,91729,City Hotel,2016-06-24,2,61,57.5,0.0152,Low,115.0,113.25
1100,46287,City Hotel,2015-12-29,3,99,37.5,0.0006,Low,112.5,112.43
1101,48622,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1102,48623,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1103,48627,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1104,48628,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1105,48629,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1106,48631,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1107,48636,City Hotel,2016-03-25,4,4,65.0,0.5694,High,260.0,111.96
1108,57307,City Hotel,2016-09-23,2,330,65.0,0.1388,Low,130.0,111.96
1109,44034,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1110,44035,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1111,44038,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1112,44055,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1113,44069,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1114,44078,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1115,44079,City Hotel,2015-09-30,1,77,112.2,0.0028,Low,112.2,111.89
1116,44391,City Hotel,2015-10-05,2,77,56.1,0.0032,Low,112.2,111.84
1117,3121,Resort Hotel,2015-11-18,6,65,18.5,0.0004,Low,111.0,110.96
1118,45271,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1119,45272,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1120,45300,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1121,45301,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1122,45318,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1123,45323,City Hotel,2015-10-25,3,58,75.33,0.5178,High,225.99,108.97
1124,115990,City Hotel,2017-07-11,2,23,80.0,0.3197,Medium,160.0,108.85
1125,42253,City Hotel,2015-09-04,1,38,110.0,0.0127,Low,110.0,108.6
1126,42256,City Hotel,2015-09-04,1,38,110.0,0.0127,Low,110.0,108.6
1127,42258,City Hotel,2015-09-04,1,38,110.0,0.0127,Low,110.0,108.6
1128,42300,City Hotel,2015-09-04,1,38,110.0,0.0127,Low,110.0,108.6
1129,42302,City Hotel,2015-09-04,1,38,110.0,0.0127,Low,110.0,108.6
1130,44540,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1131,44542,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1132,44543,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1133,44546,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1134,44547,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1135,44550,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1136,44553,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1137,44556,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1138,44557,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1139,44558,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1140,44559,City Hotel,2015-10-07,4,58,70.0,0.6184,High,280.0,106.85
1141,86846,City Hotel,2016-04-08,2,34,57.5,0.081,Low,115.0,105.68
1142,46753,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1143,46762,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1144,46765,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1145,46767,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1146,46768,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1147,46772,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1148,46808,City Hotel,2016-01-19,2,63,71.0,0.2696,Medium,142.0,103.72
1149,93272,City Hotel,2016-07-18,2,27,85.0,0.4074,Medium,170.0,100.74
1150,103985,City Hotel,2016-12-29,5,35,20.0,0.0024,Low,100.0,99.76
1151,32110,Resort Hotel,2017-01-15,2,83,55.0,0.1013,Low,110.0,98.86
1152,87293,City Hotel,2016-04-15,2,56,94.0,0.4753,Medium,188.0,98.64
1153,86143,City Hotel,2016-03-25,3,4,65.0,0.4971,Medium,195.0,98.07
